Motor,Prop,Trim RPM,Pelec,Thrust
FlightLine_5055_390.txt,apc17x12.txt,-245000.0,0,0
FlightLine_5055_390.txt,apc29ff_9x5.txt,11077.049763173,293.5,10.0
FlightLine_5055_390.txt,apce_10x5.txt,9596.716643176327,269.4,10.0
FlightLine_5055_390.txt,apce_10x7.txt,8391.48183989846,265.1,10.0
FlightLine_5055_390.txt,apce_11x10.txt,6290.832528797176,255.4,10.0
FlightLine_5055_390.txt,apce_11x7.txt,7268.105821320712,246.9,10.0
FlightLine_5055_390.txt,apce_11x8.txt,7058.692359041183,248.6,10.0
FlightLine_5055_390.txt,apce_12x8.txt,6356.159933238805,234.2,10.0
FlightLine_5055_390.txt,apce_14x12.txt,4524.5702267759225,224.0,10.0
FlightLine_5055_390.txt,apce_17x12.txt,-245000.0,0,0
FlightLine_5055_390.txt,apce_19x12.txt,-245000.0,0,0
FlightLine_5055_390.txt,apce_9x6.txt,9955.38401343057,281.5,10.0
FlightLine_5055_390.txt,apcsf_10x7.txt,8362.903546234027,258.3,10.0
FlightLine_5055_390.txt,apcsf_11x7.txt,6866.151527861404,239.3,10.0
FlightLine_5055_390.txt,apcsf_9x6.txt,9932.317166946363,278.1,10.0
FlightLine_5055_390.txt,apcsp_10x6.txt,8693.537268332942,266.7,10.0
FlightLine_5055_390.txt,apcsp_10x8.txt,8115.695283069874,271.2,10.0
FlightLine_5055_390.txt,apcsp_11x4.txt,9163.765393129725,264.6,10.0
FlightLine_5055_390.txt,apcsp_11x5.txt,8548.606538225778,257.8,10.0
FlightLine_5055_390.txt,apcsp_11x6.txt,7527.2338256083995,248.9,10.0
FlightLine_5055_390.txt,apcsp_11x7.txt,7188.31603219136,249.9,10.0
FlightLine_5055_390.txt,apcsp_11x8.txt,6942.599623021424,253.2,10.0
FlightLine_5055_390.txt,apcsp_11x9.txt,6519.154925926094,255.4,10.0
FlightLine_5055_390.txt,apcsp_9x7.txt,9837.787831930285,295.6,10.0
FlightLine_5055_390.txt,cam6x3.txt,2614.6926367585675,19.59,-0.1554
FlightLine_5055_390.txt,grcp_10x6.txt,8927.025602524069,268.4,10.0
FlightLine_5055_390.txt,grcp_10x8.txt,8020.674575072715,272.6,10.0
FlightLine_5055_390.txt,grcp_11x4.txt,9536.742290010441,267.3,10.0
FlightLine_5055_390.txt,grcp_11x6.txt,8669.39199527133,261.3,10.0
FlightLine_5055_390.txt,grcp_11x8.txt,7054.6880881283,252.4,10.0
FlightLine_5055_390.txt,grcp_9x4.txt,13043.557297006817,311.1,10.0
FlightLine_5055_390.txt,grcp_9x6.txt,10485.74219640777,294.7,10.0
FlightLine_5055_390.txt,grsn_10x6.txt,8643.807406261783,259.6,10.0
FlightLine_5055_390.txt,grsn_10x7.txt,7826.870836693109,255.0,10.0
FlightLine_5055_390.txt,grsn_11x6.txt,7805.615372670599,247.8,10.0
FlightLine_5055_390.txt,grsn_11x8.txt,6671.158338938432,239.0,10.0
FlightLine_5055_390.txt,grsn_9x5.txt,10804.05881519415,285.7,10.0
FlightLine_5055_390.txt,grsn_9x7.txt,8714.888099869591,273.3,10.0
FlightLine_5055_390.txt,gwsdd_10x6.txt,9473.2894789886,269.0,10.0
FlightLine_5055_390.txt,gwsdd_11x7.txt,7683.431580171884,247.9,10.0
FlightLine_5055_390.txt,gwsdd_9x5.txt,11819.584867142303,297.2,10.0
FlightLine_5055_390.txt,gwssf_10x8.txt,7984.197898536919,259.3,10.0
FlightLine_5055_390.txt,gwssf_11x8.txt,6662.203253610379,241.4,10.0
FlightLine_5055_390.txt,gwssf_9x7.txt,9417.02916864868,278.4,10.0
FlightLine_5055_390.txt,mae_10x7.txt,8367.221784803764,259.2,10.0
FlightLine_5055_390.txt,mae_11x7.txt,6974.514348306554,241.3,10.0
FlightLine_5055_390.txt,mae_9x6.txt,9430.432915253374,279.4,10.0
FlightLine_5055_390.txt,magf_10x6.txt,9157.392325315197,265.4,10.0
FlightLine_5055_390.txt,magf_10x8.txt,7994.600630350104,259.5,10.0
FlightLine_5055_390.txt,mas_10x5.txt,9079.034140405054,267.8,10.0
FlightLine_5055_390.txt,mas_10x7.txt,8587.564312420851,264.6,10.0
FlightLine_5055_390.txt,mas_11x6.txt,8325.166105025928,255.1,10.0
FlightLine_5055_390.txt,mas_11x7.txt,7756.723656296046,248.5,10.0
FlightLine_5055_390.txt,mas_11x8.txt,7013.896450800048,245.8,10.0
FlightLine_5055_390.txt,mas_9x5.txt,10877.631704713236,289.2,10.0
FlightLine_5055_390.txt,mas_9x7.txt,9754.108853206899,282.7,10.0
FlightLine_5055_390.txt,ma_11x4.txt,9813.97122557837,272.4,10.0
FlightLine_5055_390.txt,ma_11x6.txt,8126.076026721451,250.6,10.0
FlightLine_5055_390.txt,ma_11x7.txt,7911.0181556729995,249.1,10.0
FlightLine_5055_390.txt,ma_11x8.txt,7034.489018092159,243.4,10.0
FlightLine_5055_390.txt,ma_9x4.txt,11720.874981462197,293.1,10.0
FlightLine_5055_390.txt,ma_9x6.txt,10363.915480665753,284.6,10.0
