 
# QPROP Version 1.22
# 
# apce_17x12                                                                      
# 
# FlightLine_5055_390                                                             
#   0.60000E-01                                 
#    2.7000                                     
#    390.00                                     
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  30.000   8658.      0.000   65.45       2.804       2542.      29.232  117.2075   0.7419   0.7725   0.00389  0.7927E-08  0.3995E-10   0.0078   0.5731   3426.       1964.       0.9125  0.1811E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0359  0.0248  35.044  -0.2620  0.03759    75434  0.130   1.0386   1.3449   29.38      -1.080      0.3748E-02
   0.0433  0.0267  40.060   0.4822  0.02336    90698  0.145   0.9342   0.9067   31.27       1.898      0.4167E-02
   0.0506  0.0288  42.568   0.9791  0.02905   108499  0.161   0.8682   0.9406   32.91       3.804      0.4484E-02
   0.0580  0.0308  42.197   1.2049  0.03468   127752  0.177   0.8325   0.9408   34.10       4.717      0.4676E-02
   0.0653  0.0324  39.654   1.2240  0.03220   147302  0.195   0.8188   0.9436   34.80       4.878      0.4754E-02
   0.0727  0.0335  36.448   1.1613  0.02722   166255  0.212   0.8152   0.9472   35.18       4.704      0.4775E-02
   0.0800  0.0341  33.466   1.0919  0.02316   183713  0.230   0.8145   0.9496   35.43       4.452      0.4779E-02
   0.0874  0.0343  30.927   1.0369  0.02039   199337  0.248   0.8139   0.9507   35.64       4.210      0.4783E-02
   0.0947  0.0342  28.693   0.9888  0.01832   213247  0.267   0.8141   0.9510   35.79       3.970      0.4782E-02
   0.1020  0.0337  26.721   0.9472  0.01676   225388  0.285   0.8147   0.9507   35.89       3.738      0.4778E-02
   0.1094  0.0331  25.005   0.9138  0.01562   235909  0.304   0.8152   0.9499   35.98       3.527      0.4775E-02
   0.1167  0.0323  23.516   0.8887  0.01482   244313  0.323   0.8158   0.9487   36.04       3.334      0.4772E-02
   0.1241  0.0310  22.152   0.8671  0.01431   248396  0.342   0.8181   0.9467   36.03       3.122      0.4758E-02
   0.1314  0.0296  20.904   0.8476  0.01396   250239  0.361   0.8211   0.9442   35.97       2.915      0.4741E-02
   0.1388  0.0283  19.809   0.8331  0.01370   251605  0.380   0.8235   0.9418   35.93       2.737      0.4727E-02
   0.1461  0.0265  18.877   0.8293  0.01380   247704  0.399   0.8268   0.9384   35.85       2.558      0.4708E-02
   0.1535  0.0245  18.098   0.8353  0.01419   239981  0.418   0.8304   0.9344   35.74       2.387      0.4688E-02
   0.1608  0.0227  17.449   0.8477  0.01472   231902  0.437   0.8333   0.9303   35.66       2.243      0.4671E-02
   0.1682  0.0209  16.895   0.8648  0.01538   223319  0.457   0.8359   0.9258   35.58       2.114      0.4657E-02
   0.1755  0.0191  16.372   0.8822  0.01619   213163  0.476   0.8395   0.9206   35.46       1.981      0.4637E-02
   0.1828  0.0174  15.890   0.9016  0.01720   201578  0.495   0.8438   0.9146   35.31       1.847      0.4613E-02
   0.1902  0.0158  15.540   0.9313  0.01856   189723  0.515   0.8473   0.9078   35.19       1.734      0.4594E-02
   0.1975  0.0138  15.204   0.9651  0.02065   172423  0.534   0.8542   0.8978   34.93       1.585      0.4557E-02
   0.2049  0.0115  14.815   0.9980  0.02388   148371  0.553   0.8668   0.8822   34.45       1.380      0.4491E-02
   0.2122  0.0092  14.433   1.0322  0.02838   123204  0.573   0.8819   0.8612   33.89       1.164      0.4414E-02
